	010DV004	010DV005	035JT004	043JT007	278BB001	BSP10	BSP9	BSTP3	Grass	phiNIT1	SBSphiJ
010DV004	0	0	0.107487613168725	0.014794035087719	0.048401825095057	0.166534886877828	0.173677230046948	0.166561221719457	0.163856680851064	0.159433878504673	0.15113230125523
010DV005	0	0	0.107487613168725	0.014794035087719	0.048576920152091	0.166534886877828	0.173677230046948	0.166561221719457	0.163856680851064	0.159433878504673	0.15113230125523
035JT004	0.107487613168725	0.107487613168725	0	0.10891256097561	0.10850870292887	0.165431889400922	0.161492440191388	0.165458709677419	0.16076961038961	0.157810506912443	0.154891814345991
043JT007	0.014794035087719	0.014794035087719	0.10891256097561	0	0.049338692307692	0.161624529147982	0.1677379342723	0.161650627802691	0.16233829059829	0.156174813084112	0.151949205020921
278BB001	0.048401825095057	0.048576920152091	0.10850870292887	0.049338692307692	0	0.168210324074074	0.16305859223301	0.168237268518518	0.157957659574468	0.162327666666666	0.146421729957806
BSP10	0.166534886877828	0.166534886877828	0.165431889400922	0.161624529147982	0.168210324074074	0	0.040089836734694	2.08992805750086e-05	0.069792445414847	0.04500156779661	0.088659612068965
BSP9	0.173677230046948	0.173677230046948	0.161492440191388	0.1677379342723	0.16305859223301	0.040089836734694	0	0.040179102040816	0.0803515246636771	0.0521311618257261	0.0962967982456141
BSTP3	0.166561221719457	0.166561221719457	0.165458709677419	0.161650627802691	0.168237268518518	2.08992805750086e-05	0.040179102040816	0	0.0698178602620079	0.0450261864406769	0.088684655172414
Grass	0.163856680851064	0.163856680851064	0.16076961038961	0.16233829059829	0.157957659574468	0.069792445414847	0.0803515246636771	0.0698178602620079	0	0.063722991452991	0.068737154471545
phiNIT1	0.159433878504673	0.159433878504673	0.157810506912443	0.156174813084112	0.162327666666666	0.04500156779661	0.0521311618257261	0.0450261864406769	0.063722991452991	0	0.0783383185840709
SBSphiJ	0.15113230125523	0.15113230125523	0.154891814345991	0.151949205020921	0.146421729957806	0.088659612068965	0.0962967982456141	0.088684655172414	0.068737154471545	0.0783383185840709	0
