	010DV004	010DV005	035JT004	043JT007	278BB001	BSP10	BSP9	BSTP3	Grass	phiNIT1	SBSphiJ
010DV004	0	2.16141287229732e-05	0.095343933038971	0.015695217485831	0.0368882588151349	0.139050745137363	0.138576861688907	0.135521499148109	0.139592839974217	0.140226770382632	0.135512878058129
010DV005	2.16141287229732e-05	0	0.09564077936185	0.015705057052966	0.037050028327306	0.138939031252726	0.138253649168324	0.135579072551447	0.139643574342658	0.13996878021939	0.13524197487244
035JT004	0.095343933038971	0.09564077936185	0	0.093000121579869	0.096683201757677	0.144101843562867	0.145851155089075	0.147983534131232	0.145284140313584	0.144928377230826	0.138836328768677
043JT007	0.015695217485831	0.015705057052966	0.093000121579869	0	0.03381178513661	0.140251829674289	0.135498155399739	0.138717948562229	0.140208453931065	0.140962541434299	0.1325719088129
278BB001	0.0368882588151349	0.037050028327306	0.096683201757677	0.03381178513661	0	0.14457341139997	0.141328822021563	0.143772390064265	0.140989118141747	0.143021961262304	0.134577868969172
BSP10	0.139050745137363	0.138939031252726	0.144101843562867	0.140251829674289	0.14457341139997	0	0.016164958602031	0.000122139476496983	0.048271094581021	0.030329724213844	0.064824015444859
BSP9	0.138576861688907	0.138253649168324	0.145851155089075	0.135498155399739	0.141328822021563	0.016164958602031	0	0.016105156384581	0.052337196764407	0.0272018464279731	0.0590825718108699
BSTP3	0.135521499148109	0.135579072551447	0.147983534131232	0.138717948562229	0.143772390064265	0.000122139476496983	0.016105156384581	0	0.050618080026552	0.023846177861447	0.0620111223564651
Grass	0.139592839974217	0.139643574342658	0.145284140313584	0.140208453931065	0.140989118141747	0.048271094581021	0.052337196764407	0.050618080026552	0	0.0469837011487429	0.055745558831524
phiNIT1	0.140226770382632	0.13996878021939	0.144928377230826	0.140962541434299	0.143021961262304	0.030329724213844	0.0272018464279731	0.023846177861447	0.0469837011487429	0	0.0568235787303981
SBSphiJ	0.135512878058129	0.13524197487244	0.138836328768677	0.1325719088129	0.134577868969172	0.064824015444859	0.0590825718108699	0.0620111223564651	0.055745558831524	0.0568235787303981	0
